no,code,mda,personnel_naira,overhead_naira,capital_naira,retained_revenue_naira,aid_grant_naira,total_naira,sector,total_billion,pct_of_total_budget,capital_ratio_pct,personnel_ratio_pct
1,0111,PRESIDENCY,200839074546,53711450216,100549795959,0,0,355100320721,Executive & Presidency,355.1,0.688,28.3,56.6
2,0112,NATIONAL ASSEMBLY,344852880669,0,0,0,0,344852880669,Legislative,344.853,0.668,0.0,100.0
3,0116,MINISTRY OF DEFENCE,2392883869930,297034773462,464474756899,0,0,3154393400291,Defence & Security,3154.393,6.114,14.7,75.9
4,0119,MINISTRY OF FOREIGN AFFAIRS,215652200315,72247887924,56135718477,0,0,344035806716,Foreign Affairs,344.036,0.667,16.3,62.7
5,0123,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION,70205023993,5285850558,22672347771,0,0,98163222322,Information,98.163,0.19,23.1,71.5
6,0124,MINISTRY OF INTERIOR,591180722746,70565942515,34670127338,0,0,696416792599,Interior & Security,696.417,1.35,5.0,84.9
7,0125,OFFICE OF HEAD OF CIVIL SERVICE,7932136476,9238709290,9771406131,0,0,26942251897,Civil Service,26.942,0.052,36.3,29.4
8,0140,AUDITOR GENERAL FOR THE FEDERATION,5339954629,5686191179,4854988680,0,0,15881134488,Accountability,15.881,0.031,30.6,33.6
9,0145,PUBLIC COMPLAINTS COMMISSION,29460000000,0,0,0,0,29460000000,Accountability,29.46,0.057,0.0,100.0
10,0147,FEDERAL CIVIL SERVICE COMMISSION,1049573548,1045585105,509544220,0,0,2604702873,Civil Service,2.605,0.005,19.6,40.3
11,0148,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC),1013778401602,0,0,0,0,1013778401602,Elections & Democracy,1013.778,1.965,0.0,100.0
12,0149,FEDERAL CHARACTER COMMISSION,5220293330,901855024,409042109,0,0,6531190463,Civil Service,6.531,0.013,6.3,79.9
13,0155,FEDERAL MINISTRY OF POLICE AFFAIRS,1189865619348,79582667096,60913608673,0,0,1330361895117,Interior & Security,1330.362,2.579,4.6,89.4
14,0156,FEDERAL MINISTRY OF COMMUNICATIONS AND DIGITAL ECONOMY,32906587903,1001169799,50652484687,0,0,84560242389,Technology & Digital,84.56,0.164,59.9,38.9
15,0157,NATIONAL SECURITY ADVISER,245941683329,131273507858,286904549354,0,0,664119740541,Defence & Security,664.12,1.287,43.2,37.0
16,0158,CODE OF CONDUCT TRIBUNAL,1448126868,499173443,423926103,0,0,2371226414,Accountability,2.371,0.005,17.9,61.1
17,0159,INFRASTRUCTURE CONCESSION REGULATORY COMMISSION,1169132877,863391657,748400892,0,0,2780925426,Infrastructure,2.781,0.005,26.9,42.0
18,0160,POLICE SERVICE COMMISSION,1489436564,493322360,414315906,0,0,2397074830,Interior & Security,2.397,0.005,17.3,62.1
19,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,131577404233,47917266116,113526967297,0,0,293021637646,Executive & Presidency,293.022,0.568,38.7,44.9
20,0164,FEDERAL MINISTRY OF SPECIAL DUTIES & INTER-GOVERNMENTAL AFFAIRS,7039182787,1916810051,4825111318,0,0,13781104156,Executive & Presidency,13.781,0.027,35.0,51.1
21,0215,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY,136264346724,11256793867,1300452463830,0,0,1447973604421,Agriculture & Food,1447.974,2.807,89.8,9.4
22,0220,FEDERAL MINISTRY OF FINANCE,54775408304,15919150538565,807346551133,0,0,16781272498002,Finance & Economy,16781.272,32.527,4.8,0.3
23,0222,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",26438444818,5598604682,55399199585,0,0,87436249085,Industry & Trade,87.436,0.169,63.4,30.2
24,0227,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,28847711401,4993292158,149791949431,0,0,183632952990,Labour,183.633,0.356,81.6,15.7
25,0228,"FEDERAL MINISTRY OF SCIENCE, TECHNOLOGY AND INNOVATION",85080335292,8336534900,745257210157,0,0,838674080349,Science & Innovation,838.674,1.626,88.9,10.1
26,0229,FEDERAL MINISTRY OF TRANSPORT,31989262336,2540798201,397768224488,0,0,432298285025,Infrastructure,432.298,0.838,92.0,7.4
27,0230,FEDERAL MINISTRY OF AVIATION AND AEROSPACE,14779174252,2338000548,70192789683,0,0,87309964483,Infrastructure,87.31,0.169,80.4,16.9
28,0231,FEDERAL MINISTRY OF POWER,6168020641,4211403159,1096723725158,0,0,1107103148958,Energy & Power,1107.103,2.146,99.1,0.6
29,0232,MINISTRY OF PETROLEUM RESOURCES,52228859051,5839381814,13529745188,0,0,71597986053,Energy & Power,71.598,0.139,18.9,72.9
30,0233,FEDERAL MINISTRY OF STEEL DEVELOPMENT,12718487788,1952752773,6849038708,0,0,21520279269,Industry & Trade,21.52,0.042,31.8,59.1
31,0234,FEDERAL MINISTRY OF WORKS,12945161598,35725820451,3436981402572,0,0,3485652384621,Infrastructure,3485.652,6.756,98.6,0.4
32,0238,FEDERAL MINISTRY OF BUDGET AND ECONOMIC PLANNING,2193538293226,1398470754372,5510989427112,0,0,9102998474710,Finance & Economy,9102.998,17.644,60.5,24.1
33,0242,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",1704772278,1513959000,1454429890,0,0,4673161168,Labour,4.673,0.009,31.1,36.5
34,0246,"REVENUE MOBILISATION, ALLOCATION AND FISCAL COMMISSION",3002529121,1066301278,641284628,0,0,4710115027,Finance & Economy,4.71,0.009,13.6,63.7
35,0250,FISCAL RESPONSIBILITY COMMISSION,405337461,738291539,848043502,0,0,1991672502,Finance & Economy,1.992,0.004,42.6,20.4
36,0252,FEDERAL MINISTRY OF WATER RESOURCES,19191257062,4013360541,435443565113,0,0,458648182716,Infrastructure,458.648,0.889,94.9,4.2
37,0253,FEDERAL MINISTRY OF HOUSING AND URBAN DEVELOPMENT,7868368004,2753391993,95324545275,0,0,105946305272,Infrastructure,105.946,0.205,90.0,7.4
38,0254,FEDERAL MINISTRY OF MARINE AND BLUE ECONOMY,10932775975,1870467624,136438709056,0,0,149241952655,Infrastructure,149.242,0.289,91.4,7.3
